Y,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0,56,other,married,basic.4y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,25,services,single,high.school,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,57,other,divorced,basic.4y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,39,management,single,basic.9y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,30,other,married,high.school,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,37,admin.,married,high.school,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,39,other,married,basic.9y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,59,technician,married,unknown,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,54,blue-collar,divorced,basic.4y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,55,other,married,basic.4y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,52,technician,married,basic.9y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,38,admin.,single,professional.course,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,44,admin.,married,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,60,admin.,married,high.school,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,55,blue-collar,married,basic.4y,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,55,other,married,professional.course,0,1,1,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,25,technician,single,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,47,other,married,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,44,blue-collar,single,basic.9y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,33,admin.,married,unknown,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,56,admin.,married,basic.9y,0,1,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,47,admin.,married,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,57,other,married,unknown,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
1,41,blue-collar,divorced,basic.4y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,55,technician,married,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,33,services,married,high.school,0,1,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,42,blue-collar,married,basic.9y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
1,49,other,married,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
1,49,technician,married,basic.9y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,42,management,married,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,54,services,married,unknown,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,52,admin.,divorced,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,43,services,single,high.school,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,60,retired,divorced,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,58,other,married,basic.4y,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,35,services,divorced,high.school,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,36,blue-collar,married,high.school,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,49,blue-collar,divorced,high.school,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,42,admin.,married,university.degree,0,0,1,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
1,41,technician,married,professional.course,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,41,technician,married,professional.course,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,39,management,divorced,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,39,other,married,basic.4y,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
1,45,blue-collar,married,basic.9y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,43,other,single,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,35,admin.,single,high.school,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,40,admin.,married,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,56,other,married,unknown,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,40,blue-collar,married,unknown,0,1,1,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,36,blue-collar,married,basic.9y,0,1,1,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,24,management,single,university.degree,0,1,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,40,blue-collar,married,unknown,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,43,blue-collar,married,high.school,0,0,1,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,42,admin.,single,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,46,blue-collar,married,basic.6y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
1,42,blue-collar,married,basic.9y,0,1,1,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,36,admin.,married,university.degree,0,1,0,telephone,may,mon,3,0,1.1,93.994,-36.4,4.857,5191
0,51,technician,married,basic.6y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,34,admin.,married,university.degree,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,41,technician,married,professional.course,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,42,technician,married,university.degree,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,34,blue-collar,single,basic.9y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,34,blue-collar,single,basic.9y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,43,blue-collar,married,basic.6y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,39,blue-collar,married,high.school,0,1,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,35,other,single,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,36,services,single,basic.4y,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,36,other,single,basic.9y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,55,other,divorced,university.degree,0,0,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
0,57,retired,married,unknown,0,0,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,35,admin.,married,high.school,0,1,0,telephone,may,mon,2,0,1.1,93.994,-36.4,4.857,5191
0,36,services,single,basic.6y,0,1,0,telephone,may,mon,1,0,1.1,93.994,-36.4,4.857,5191
